epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.8947,1.18702,1.66042,0.83007,0.11324,0.32847,0.11845,0.0773,1.00898,inf,0.79957,0.000405983,0.000405983,0.000405983
2,56.571,1.11256,0.70095,0.81278,0.57251,0.32972,0.32,0.17957,1.25359,1.64997,0.82493,0.000814505,0.000814505,0.000814505
3,89.0872,1.23931,0.67793,0.81865,0.6187,0.5334,0.54878,0.28497,1.30652,0.86717,0.82357,0.00121478,0.00121478,0.00121478
4,120.919,1.18107,0.64419,0.81546,0.65392,0.53517,0.57951,0.33527,1.20933,0.70588,0.8204,0.00121287,0.00121287,0.00121287
5,154.1,1.14639,0.65288,0.81083,0.48874,0.41253,0.40154,0.23246,1.14723,1.0762,0.80847,0.0012005,0.0012005,0.0012005
6,180.826,1.11697,0.62053,0.80853,0.86243,0.59366,0.71133,0.44837,0.99058,0.60948,0.801,0.00118812,0.00118812,0.00118812
7,212.839,1.11397,0.58037,0.80844,0.82424,0.63286,0.6927,0.38503,1.10569,0.58744,0.80913,0.00117575,0.00117575,0.00117575
8,239.71,1.10406,0.5488,0.80215,0.80167,0.63392,0.72582,0.43105,1.12999,0.60746,0.81037,0.00116337,0.00116337,0.00116337
9,268.605,1.0158,0.51061,0.8031,0.87211,0.67538,0.78598,0.4805,0.99787,0.49089,0.8032,0.001151,0.001151,0.001151
10,303.024,1.05006,0.51987,0.80179,0.879,0.7264,0.76927,0.50846,0.89461,0.48779,0.79676,0.00113863,0.00113863,0.00113863
11,337.2,0.96948,0.47664,0.79651,0.82898,0.71062,0.7647,0.48864,0.96533,0.47053,0.79815,0.00112625,0.00112625,0.00112625
12,366.82,1.03221,0.4984,0.80069,0.84386,0.72337,0.76474,0.47987,0.89853,0.466,0.79447,0.00111388,0.00111388,0.00111388
13,397.258,0.96801,0.48422,0.79567,0.86736,0.71826,0.77477,0.51337,0.89899,0.47838,0.79549,0.0011015,0.0011015,0.0011015
14,435.05,0.96912,0.48499,0.79403,0.83733,0.70257,0.74738,0.44909,1.00088,0.52375,0.80129,0.00108913,0.00108913,0.00108913
15,466.72,0.96179,0.48044,0.79529,0.80958,0.70234,0.75973,0.48533,0.95487,0.4666,0.79892,0.00107675,0.00107675,0.00107675
16,498.87,0.94661,0.46938,0.79205,0.84902,0.60209,0.71447,0.44649,0.92642,0.48649,0.79924,0.00106437,0.00106437,0.00106437
17,532.102,0.92005,0.45608,0.78943,0.82442,0.70236,0.73373,0.44944,0.9804,0.49714,0.79847,0.001052,0.001052,0.001052
18,565.992,0.96371,0.47393,0.7944,0.91931,0.6625,0.75416,0.44858,1.02773,0.49351,0.79867,0.00103962,0.00103962,0.00103962
19,600.416,1.0152,0.49058,0.79797,0.85344,0.6982,0.76119,0.49751,0.87695,0.45933,0.79201,0.00102725,0.00102725,0.00102725
20,635.724,0.95383,0.47014,0.79467,0.85858,0.67151,0.73298,0.46781,0.92928,0.4751,0.79701,0.00101488,0.00101488,0.00101488
21,671.824,0.93108,0.456,0.79091,0.84157,0.71546,0.76703,0.51579,0.88788,0.45838,0.79189,0.0010025,0.0010025,0.0010025
22,713.189,0.92619,0.46139,0.79194,0.87524,0.74971,0.794,0.52451,0.87624,0.499,0.79095,0.000990125,0.000990125,0.000990125
23,754.737,0.88821,0.44049,0.79107,0.80671,0.70375,0.75856,0.52295,0.84669,0.45269,0.78974,0.00097775,0.00097775,0.00097775
24,790.252,0.88257,0.42787,0.78761,0.81655,0.72176,0.78531,0.54073,0.8295,0.44082,0.7896,0.000965375,0.000965375,0.000965375
